Category,Method,Set_idx,MAE,RMSE,Time
MNAR,MiceForest,31,0.5229016939385888,0.7193162452332673,15.127228736877441
MNAR,GAIN,32,inf,inf,3.008328914642334
MNAR,MiceForest,32,0.5168782909477264,0.7079844737221589,15.234041929244995
MNAR,GAIN,33,inf,inf,3.2349565029144287
MNAR,MiceForest,33,0.5404017618457089,0.740088900843799,15.311800241470337
MNAR,GAIN,34,inf,inf,3.263798475265503
MNAR,MiceForest,34,0.5261101887524052,0.7072298022943111,15.496920824050903
MNAR,GAIN,35,inf,inf,3.2186856269836426
MNAR,MiceForest,35,0.5108283848130118,0.6906613231699924,15.326568126678467
MNAR,GAIN,36,inf,inf,3.40606951713562
MNAR,MiceForest,36,0.526711357725061,0.7074366875193887,15.446476697921753
MNAR,GAIN,37,inf,inf,3.469022035598755
MNAR,MiceForest,37,0.5050867634801985,0.6723037992992399,15.703760623931885
MNAR,GAIN,38,inf,inf,3.417088031768799
MNAR,MiceForest,38,0.5157437774349012,0.6955358924013652,15.206161260604858
MNAR,GAIN,39,inf,inf,3.589663028717041
MNAR,MiceForest,39,0.526961766301882,0.7105240257556314,15.336199522018433
MNAR,GAIN,4,inf,inf,3.4943976402282715
MNAR,MiceForest,4,0.5132568240605662,0.685957204059761,15.036659240722656
MNAR,GAIN,40,inf,inf,3.5621578693389893
MNAR,MiceForest,40,0.5327392551239912,0.715886624477292,15.239789485931396
MNAR,GAIN,41,inf,inf,3.6714699268341064
MNAR,MiceForest,41,0.53021657850023,0.7166152577558682,15.238476276397705
MNAR,GAIN,42,inf,inf,3.7179248332977295
MNAR,MiceForest,42,0.4896239102338114,0.6566632031821091,15.899410724639893
MNAR,GAIN,43,inf,inf,3.8238275051116943
MNAR,MiceForest,43,0.5072140460063334,0.6683487325725707,15.360894680023193
MNAR,GAIN,44,inf,inf,3.814028739929199
MNAR,MiceForest,44,0.5204779140915503,0.6979115092554107,15.180828332901001
MNAR,GAIN,45,inf,inf,3.862006187438965
MNAR,MiceForest,45,0.5417762113613418,0.7286398335178802,15.317411661148071
MNAR,GAIN,46,inf,inf,3.9384024143218994
MNAR,MiceForest,46,0.5292386815340178,0.7120542678886038,15.087109804153442
MNAR,GAIN,47,inf,inf,4.1135313510894775
MNAR,MiceForest,47,0.51867522241429,0.7094070693946091,15.294731855392456
MNAR,GAIN,48,inf,inf,4.232876777648926
MNAR,MiceForest,48,0.5159595978442436,0.6830630348817833,15.09817385673523
MNAR,GAIN,49,inf,inf,4.201741695404053
MNAR,MiceForest,49,0.5315002897830358,0.710655098875105,15.09682559967041
MNAR,GAIN,5,inf,inf,4.216269254684448
MNAR,MiceForest,5,0.5029374325435836,0.6722956512978121,15.231109619140625
MNAR,GAIN,50,inf,inf,4.226914167404175
MNAR,MiceForest,50,0.5141501775179241,0.7013436290412783,15.17085576057434
MNAR,GAIN,51,inf,inf,4.4617719650268555
MNAR,MiceForest,51,0.5103630878467997,0.6989169080210937,15.2639319896698
MNAR,GAIN,52,inf,inf,4.428198575973511
MNAR,MiceForest,52,0.5108080341808996,0.6916848390721344,15.32609248161316
MNAR,GAIN,53,inf,inf,4.541123151779175
MNAR,MiceForest,53,0.5170356805261325,0.6815954789254469,15.140818357467651
MNAR,GAIN,54,inf,inf,4.653642416000366
MNAR,MiceForest,54,0.5169980450796098,0.6848701072001367,15.11463475227356
MNAR,GAIN,55,inf,inf,4.627180576324463
MNAR,MiceForest,55,0.5028149775334637,0.6775725745497633,15.182201623916626
MNAR,GAIN,56,inf,inf,4.6966047286987305
MNAR,MiceForest,56,0.5262092031386764,0.7198912036660379,15.168236255645752
MNAR,GAIN,57,inf,inf,5.000004529953003
MNAR,MiceForest,57,0.5148114509928032,0.6905030507594957,15.087782859802246
MNAR,GAIN,58,inf,inf,4.873764276504517
MNAR,MiceForest,58,0.5309819229297987,0.7029567453109501,15.294261932373047
MNAR,GAIN,59,inf,inf,4.911077976226807
MNAR,MiceForest,59,0.5191195668585106,0.6941175839925704,15.10193419456482
MNAR,GAIN,6,inf,inf,5.003219366073608
MNAR,MiceForest,6,0.5193160791004976,0.6960348384051286,15.164918422698975
MNAR,GAIN,60,inf,inf,5.029468297958374
MNAR,MiceForest,60,0.5168482129761329,0.6863313725100478,15.001893758773804
MNAR,GAIN,61,inf,inf,5.082050561904907
