Category,Method,Set_idx,MAE,RMSE,Time
MCAR,GAIN,10,0.3940887976727649,0.5357245722318552,5.794488430023193
MCAR,MiceForest,10,0.3459710444410556,0.4659325004621683,27.096012592315674
MCAR,GAIN,20,0.47055224340607926,0.6220283501054514,6.614109516143799
MCAR,MiceForest,20,0.3709116344455108,0.5081836923253945,25.506396293640137
MCAR,GAIN,30,0.5918505869903995,0.7948335619565756,7.397665023803711
MCAR,MiceForest,30,0.36704673622145245,0.49265271103720876,22.597627878189087
MCAR,GAIN,40,0.7718290579386992,1.007819255630367,6.4287497997283936
MCAR,MiceForest,40,0.39848480321618973,0.5502851366310363,19.335822343826294
MCAR,GAIN,50,0.9389784736845256,1.2358795893265329,6.383188009262085
MCAR,MiceForest,50,0.42251919801740956,0.5770071725722561,16.050461530685425
MCAR,GAIN,60,1.1553837140617103,1.4787784860831468,6.274991273880005
MCAR,MiceForest,60,0.47025864887390145,0.6383580564601952,13.028821229934692
MCAR,GAIN,70,inf,inf,6.389529705047607
MCAR,MiceForest,70,0.5274393145907398,0.7067110641374986,11.743229389190674
MCAR,GAIN,80,inf,inf,6.909846782684326
MCAR,MiceForest,80,0.6099693739575959,0.8128141035231757,10.309369087219238
MCAR,GAIN,90,inf,inf,7.924720287322998
MCAR,MiceForest,90,0.725173085744399,0.970095145767739,8.092087984085083
